system:index,NO2_area_mean_mol_per_m2,NO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000005_5,5.0715914478463316E-5,8.962657964112237E-5,2024-01-01,2020,Bangkok,2023-01-01,4811.404388285264,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_6,4.6760660880039854E-5,8.077213378320217E-5,2025-01-01,2020,Bangkok,2024-01-01,4811.404388285264,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_7,5.033201771829572E-5,9.16895964497821E-5,2026-01-01,2020,Bangkok,2025-01-01,4811.404388285264,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,5.566589842771723E-5,1.2716232388945988E-4,2019-01-01,2018.0,Laem Chabang,2018-12-05,3330.8086111109633,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_1,3.6550511350950536E-5,8.194979243711466E-5,2020-01-01,2019.0,Laem Chabang,2019-01-01,3464.401439123704,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_2,3.431742208019937E-5,7.759764817157145E-5,2021-01-01,2020.0,Laem Chabang,2020-01-01,3602.788478947328,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_3,3.854703902373694E-5,9.21026630425257E-5,2022-01-01,2020,Laem Chabang,2021-01-01,3602.788478947328,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_4,3.855740865761647E-5,8.882891505112122E-5,2023-01-01,2020,Laem Chabang,2022-01-01,3602.788478947328,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_5,4.117741500044049E-5,9.4761063808906E-5,2024-01-01,2020,Laem Chabang,2023-01-01,3602.788478947328,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_6,3.736990258648989E-5,8.437076354997424E-5,2025-01-01,2020,Laem Chabang,2024-01-01,3602.788478947328,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_7,4.2091496092559035E-5,9.808659803675884E-5,2026-01-01,2020,Laem Chabang,2025-01-01,3602.788478947328,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,5.720082146267002E-5,1.2482631361079497E-4,2019-01-01,2018.0,Sriracha,2018-12-05,3743.7737034175607,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_1,3.8405736105655064E-5,8.210281993188235E-5,2020-01-01,2019.0,Sriracha,2019-01-01,3897.16472538283,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_2,3.595392214794592E-5,7.743017785623423E-5,2021-01-01,2020.0,Sriracha,2020-01-01,4060.1005962321574,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_3,4.0421215163260586E-5,9.199921706397251E-5,2022-01-01,2020,Sriracha,2021-01-01,4060.1005962321574,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_4,4.0344530018886106E-5,8.849133720535887E-5,2023-01-01,2020,Sriracha,2022-01-01,4060.1005962321574,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_5,4.3095098944893043E-5,9.438235339873734E-5,2024-01-01,2020,Sriracha,2023-01-01,4060.1005962321574,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_6,3.9240325931999655E-5,8.457459458347023E-5,2025-01-01,2020,Sriracha,2024-01-01,4060.1005962321574,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_7,4.391281474244425E-5,9.742016771416595E-5,2026-01-01,2020,Sriracha,2025-01-01,4060.1005962321574,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,5.926030888454032E-5,8.037252536873114E-5,2019-01-01,2018.0,Haimen,2018-12-05,1687.6045375417564,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_1,4.6059098738049496E-5,5.743986203207567E-5,2020-01-01,2019.0,Haimen,2019-01-01,1710.6554260919177,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_2,4.5120036200096904E-5,5.626596666859494E-5,2021-01-01,2020.0,Haimen,2020-01-01,1734.6450564032225,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_3,6.645953413883193E-5,8.531946611986309E-5,2022-01-01,2020,Haimen,2021-01-01,1734.6450564032225,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_4,4.7255130556659424E-5,6.065333425297487E-5,2023-01-01,2020,Haimen,2022-01-01,1734.6450564032225,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_5,5.359199290551458E-5,6.933583796018538E-5,2024-01-01,2020,Haimen,2023-01-01,1734.6450564032225,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_6,5.2070622540443656E-5,6.398156903288828E-5,2025-01-01,2020,Haimen,2024-01-01,1734.6450564032225,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_7,5.271829634301851E-5,6.390093118068922E-5,2026-01-01,2020,Haimen,2025-01-01,1734.6450564032225,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
