system:index,SO2_area_mean_mol_per_m2,SO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000005_6,9.90662581022655E-6,8.129788160033431E-6,2025-01-01,2020,Bangkok,2024-01-01,4811.404388285264,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_7,2.9579416684778464E-5,3.375247385101228E-5,2026-01-01,2020,Bangkok,2025-01-01,4811.404388285264,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,4.492038129865782E-5,5.36662105880887E-5,2019-01-01,2018.0,Laem Chabang,2018-12-05,3330.8086111109633,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_1,-7.870470180348442E-6,-1.8841499853440592E-5,2020-01-01,2019.0,Laem Chabang,2019-01-01,3464.401439123704,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_2,5.992752527506351E-6,1.326033970789562E-5,2021-01-01,2020.0,Laem Chabang,2020-01-01,3602.788478947328,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_3,1.9464869095384176E-5,1.7597945090639575E-5,2022-01-01,2020,Laem Chabang,2021-01-01,3602.788478947328,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_4,1.3945319634865189E-5,2.2147155516992123E-5,2023-01-01,2020,Laem Chabang,2022-01-01,3602.788478947328,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_5,1.9758973414793025E-5,2.8418048306632767E-5,2024-01-01,2020,Laem Chabang,2023-01-01,3602.788478947328,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_6,1.2360175970929174E-5,1.0486602410362227E-5,2025-01-01,2020,Laem Chabang,2024-01-01,3602.788478947328,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_7,2.9341887311351584E-5,3.599308947674833E-5,2026-01-01,2020,Laem Chabang,2025-01-01,3602.788478947328,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,4.606226906625821E-5,5.0573767284152594E-5,2019-01-01,2018.0,Sriracha,2018-12-05,3743.7737034175607,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_1,-9.795380190591305E-6,-2.0057566858944456E-5,2020-01-01,2019.0,Sriracha,2019-01-01,3897.16472538283,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_2,3.851832620087606E-6,1.156022667468005E-5,2021-01-01,2020.0,Sriracha,2020-01-01,4060.1005962321574,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_3,1.886976458003303E-5,1.810356304973368E-5,2022-01-01,2020,Sriracha,2021-01-01,4060.1005962321574,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_4,1.2948788012332397E-5,2.159922628075097E-5,2023-01-01,2020,Sriracha,2022-01-01,4060.1005962321574,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
