system:index,CO_area_mean_mol_per_m2,NO2_area_mean_mol_per_m2,SO2_area_mean_mol_per_m2,end_date,population_year_used,port_name,start_date,total_pollution_area_mean_mol_per_m2,total_pollution_population_weighted_exposure_mol_per_m2,total_population,year,.geo
00000000000000000008_2,0.042523306178178316,4.5120036200096904E-5,6.973640601289171E-5,2021-01-01,2020.0,Haimen,2020-01-01,0.04263816262039136,0.043349124291001885,1734.6450564032225,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_3,0.042087609510315524,6.645953413883193E-5,1.672265226506182E-4,2022-01-01,2020,Haimen,2021-01-01,0.042321295567105024,0.042620779610774914,1734.6450564032225,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_4,0.03802347676792414,4.7255130556659424E-5,9.608366583378631E-5,2023-01-01,2020,Haimen,2022-01-01,0.038166815564314636,0.03848796460754522,1734.6450564032225,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_5,0.04049666692116053,5.359199290551458E-5,1.299770732290767E-4,2024-01-01,2020,Haimen,2023-01-01,0.0406802359872951,0.04118477166542275,1734.6450564032225,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_6,0.04048512475929691,5.2070622540443656E-5,8.130258945013053E-5,2025-01-01,2020,Haimen,2024-01-01,0.04061849797128756,0.04093799844677497,1734.6450564032225,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_7,0.037072621513134105,5.271829634301851E-5,4.406401091350727E-5,2026-01-01,2020,Haimen,2025-01-01,0.037169403820390634,0.03766304304402036,1734.6450564032225,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.04872528626829746,1.368929270970297E-4,,2019-01-01,2018.0,Qinhuangdao,2018-12-05,,0.0,1102.0130980775054,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_1,0.05321779013692747,1.1222309426078769E-4,3.7145949221079635E-4,2020-01-01,2019.0,Qinhuangdao,2019-01-01,0.05370147272339907,0.05986985847616757,1109.1038262577622,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_2,0.05275970272278674,1.1610410608394154E-4,4.397497388888536E-4,2021-01-01,2020.0,Qinhuangdao,2020-01-01,0.05331555656775951,0.05856096144210736,1116.502733047394,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_3,0.05026358101752625,1.2617208288143728E-4,4.675143101919212E-4,2022-01-01,2020,Qinhuangdao,2021-01-01,0.05085726741059957,0.054107180795894314,1116.502733047394,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_4,0.04490220541046676,9.696007460977124E-5,4.2080528445404827E-4,2023-01-01,2020,Qinhuangdao,2022-01-01,0.0454199707695306,0.04801480155242169,1116.502733047394,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_5,0.047271399253189114,1.0680914909691602E-4,4.248141602257886E-4,2024-01-01,2020,Qinhuangdao,2023-01-01,0.04780302256251179,0.05147001510787138,1116.502733047394,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_6,0.047690475950155665,9.571590247502966E-5,5.308816841179287E-4,2025-01-01,2020,Qinhuangdao,2024-01-01,0.04831707353674862,0.05127798883601844,1116.502733047394,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_7,0.04494640636523603,1.0630444869438109E-4,1.743239237582259E-4,2026-01-01,2020,Qinhuangdao,2025-01-01,0.04522703473768862,0.048292692270243034,1116.502733047394,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0.04422934416162025,1.0842296787168933E-4,,2019-01-01,2018.0,Yingkou,2018-12-05,,0.0,1669.123248185597,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_1,0.048845029271510944,8.65427743631472E-5,3.482178229545426E-4,2020-01-01,2019.0,Yingkou,2019-01-01,0.04927978986882862,0.05266635224462236,1675.6502954240145,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
